location;placeid;formatted_address;location_type;continent;colloquial_area;country;admin_1;admin_2;lat;lon;locality
italia;ChIJA9KNRIL-1BIRb15jJFz1LOI;Roma, Città Metropolitana di Roma, Lazio, Italy;country+political;;;Italy;Lazio;Città Metropolitana di Roma;41.87194;12.56738;
roma;ChIJu46S-ZZhLxMROG5lkwZ3D7k;Roma, Città Metropolitana di Roma, Lazio, Italy;locality+political;;;Italy;Lazio;Città Metropolitana di Roma;41.9027835;12.4963655;Roma
austria;ChIJfyqdJZsHbUcRr8Hk3XvUEhA;Liezen, Steiermark, Austria;country+political;;;Austria;Steiermark;Liezen;47.516231;14.550072;
francia;ChIJMVd4MymgVA0R99lHx5Y__Ws;Creuse, Nouvelle-Aquitaine, France;country+political;;;France;Nouvelle-Aquitaine;Creuse;46.227638;2.213749;
germania;ChIJa76xwh5ymkcRW-WRjmtd6HU;Unstrut-Hainich-Kreis, Thüringen, Germany;country+political;;;Germany;Thüringen;;51.165691;10.451526;
san francisco;ChIJIQBpAG2ahYAR_6128GcTUEo;San Francisco County, California, United States;locality+political;;;United States;California;San Francisco County;37.7749295;-122.4194155;San Francisco County
vienna;ChIJn8o2UZ4HbUcRRluiUYrlwv0;Wien, Austria;locality+political;;;Austria;Wien;;48.2081743;16.3738189;Wien
europa;ChIJhdqtz4aI7UYRefD8s-aZ73I;;continent+establishment+natural_feature;;;;;;54.5259614;15.2551187;
londra;ChIJdd4hrwug2EcRmSrV3Vo6llI;Greater London, England, United Kingdom;locality+political;;;United Kingdom;England;Greater London;51.5073509;-0.1277583;Greater London
stati uniti;ChIJCzYy5IS16lQRQrfeQ5K5Oxw;Fawn Creek Township, Montgomery County, Kansas, United States;country+political;;;United States;Kansas;Montgomery County;37.09024;-95.712891;
serbia;ChIJlYCJ8t8dV0cRXYYjN-pQXgU;Šumadijski okrug, Serbia;country+political;;;Serbia;;Šumadijski okrug;44.016521;21.005859;
parigi;ChIJD7fiBh9u5kcRYJSMaMOCCwQ;Département de Paris, Île-de-France, France;locality+political;;;France;Île-de-France;Département de Paris;48.856614;2.3522219;Département de Paris
washington;ChIJW-T2Wt7Gt4kRKl2I1CJFUsI;District of Columbia, United States;locality+political;;;United States;District of Columbia;;38.9071923;-77.0368707;District of Columbia
albania;ChIJLUwnvfM7RRMR7juY1onlfAc;Rrethi i Elbasanit, Qarku i Elbasanit, Albania;country+political;;;Albania;Qarku i Elbasanit;Rrethi i Elbasanit;41.153332;20.168331;
argentina;ChIJZ8b99fXKvJURqA_wKpl3Lz0;Caleu Caleu, La Pampa, Argentina;country+political;;;Argentina;La Pampa;Caleu Caleu;-38.416097;-63.616672;
asia;ChIJV-jLJIrxYzYRWfSg0_xrQak;Qinghai Sheng, China;continent+establishment+natural_feature;;;China;Qinghai Sheng;;34.047863;100.6196553;
berlino;ChIJAVkDPzdOqEcRcDteW0YgIQQ;Berlin, Germany;locality+political;;;Germany;Berlin;;52.5200066;13.404954;Berlin
spagna;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;Madrid, Comunidad de Madrid, Spain;country+political;;;Spain;Comunidad de Madrid;Madrid;40.463667;-3.74922;
marocco;ChIJjcVRlmGICw0Rw_8sxIGT09k;El Kelaâ des Sraghna, Marrakech-Safi, Morocco;country+political;;;Morocco;Marrakech-Safi;El Kelaâ des Sraghna;31.791702;-7.09262;
milano;ChIJ53USP0nBhkcRjQ50xhPN_zw;Milano, Città Metropolitana di Milano, Lombardia, Italy;locality+political;;;Italy;Lombardia;Città Metropolitana di Milano;45.4642035;9.189982;Milano
russia;ChIJ-yRniZpWPEURE_YRZvj9CRQ;Evenkiysky District, Krasnoyarskiy kray, Russia;country+political;;;Russia;Krasnoyarskiy kray;Evenkiysky District;61.52401;105.318756;
trento;ChIJ253Oycp2gkcRR_WfE5mixic;Trento, Trentino, Trentino-Alto Adige, Italy;locality+political;;;Italy;Trentino-Alto Adige;Trentino;46.0747793;11.1217486;Trento
america;ChIJCzYy5IS16lQRQrfeQ5K5Oxw;Fawn Creek Township, Montgomery County, Kansas, United States;country+political;;;United States;Kansas;Montgomery County;37.09024;-95.712891;
ancona;ChIJw6lHJCqALRMRrMU_VIBWrQ8;Ancona, Provincia di Ancona, Marche, Italy;locality+political;;;Italy;Marche;Provincia di Ancona;43.6158299;13.518915;Ancona
