sentence;title;entity;type;issue;issue.freq;timestamp;processed;magnitude;score;year;id
1002;L'Italia;ettore patrizi editore;ORG;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;1;1915-01-01;1;0.2;0.2;1915-01-01;ettore patrizi editore - ORG
1003;L'Italia;san francisco;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;1;1915-01-01;1;0.1;0.1;1915-01-01;san francisco - GPE
1013;L'Italia;generale pau;ORG;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;2;1915-01-01;1;0;0;1915-01-01;generale pau - ORG
1023;L'Italia;vienna;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;1;1915-01-01;1;0.3;-0.3;1915-01-01;vienna - GPE
1028;L'Italia;vienna;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;4;1915-01-01;1;0;0;1915-01-01;vienna - GPE
1032;L'Italia;germania;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;2;1915-01-01;1;0.1;0.1;1915-01-01;germania - GPE
1039;L'Italia;francia;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;3;1915-01-01;1;0.3;0.3;1915-01-01;francia - GPE
1040;L'Italia;convenzione dell aja;ORG;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;2;1915-01-01;1;0;0;1915-01-01;convenzione dell aja - ORG
1059;L'Italia;italia;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;10;1915-01-01;1;0.5;0.5;1915-01-01;italia - GPE
1067;L'Italia;europa;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;2;1915-01-01;1;0.3;-0.3;1915-01-01;europa - GPE
1077;L'Italia;roma;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;2;1915-01-01;1;0.3;-0.3;1915-01-01;roma - GPE
1087;L'Italia;asia;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;1;1915-01-01;1;0;0;1915-01-01;asia - GPE
1095;L'Italia;san francisco;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;1;1915-01-01;1;0.1;-0.1;1915-01-01;san francisco - GPE
1096;L'Italia;stati uniti;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;1;1915-01-01;1;0;0;1915-01-01;stati uniti - GPE
1099;L'Italia;stati uniti;GPE;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;3;1915-01-01;1;0;0;1915-01-01;stati uniti - GPE
1104;L'Italia;woodrow wilson;PER;sn85066408_1915-01-01_ed-1_seq-1_ocr.txt;2;1915-01-01;1;0.5;-0.5;1915-01-01;woodrow wilson - PER
