location;type;filename;Title;freq;loc.gpe;date;year
bomba;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
europa;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;2;GPE;1897-01-25;1897
francia;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
francia;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
italia;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
londra;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;3;GPE;1897-01-25;1897
mediterraneo;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
milano;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
parigi;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
roma;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
san francisco;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
spagna;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
telephone;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
torino;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
vienna;B-GPE;sn85066408_1897-01-25_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-25;1897
africa;B-GPE;sn85066408_1897-01-26_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-26;1897
america;B-GPE;sn85066408_1897-01-26_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-26;1897
argentina;B-GPE;sn85066408_1897-01-26_ed-1_seq-1_ocr.txt;L'Italia;4;GPE;1897-01-26;1897
belgio;B-GPE;sn85066408_1897-01-26_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-26;1897
colonia;B-GPE;sn85066408_1897-01-26_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-26;1897
corrispondenza;B-GPE;sn85066408_1897-01-26_ed-1_seq-1_ocr.txt;L'Italia;1;GPE;1897-01-26;1897
